poem,distance
Лермонтов М. Ю._Выхожу-один-я-на-дорогу;_Х5жм,0
Меркурьева В.А._Некогда-подумать-о-себе_Х5мж,10.118474489346436
Кузьмина-Караваева Е.Ю._Вечером-родился-человек;_Х5мжм,10.286741419485644
Хомяков А.С._Спала-ночь-с-померкшей-вышины._Х5мж,10.396911784910424
Случевский К.К._Пой-о-ней-голубушка-певунья_Х5жм,10.626304489140416
Трефолев Л.Н._При-моем-последнем-смертном-ложе_Х5жм,10.650598660873204
Прокофьев А.А._Звездный-путь-широкой-опояскою_Х5дм,10.691665251309024
Штейгер А.С._Да-еще-во-сне-бывает-счастье_Х5жм; Х4м,10.769573051438782
Бунин И.А._В-поздний-час-мы-были-с-нею-в-поле._Х5жм,10.804183732619217
"Лохвицкая М._Тише!-Спи!-Под-шум-и-свист-мятели_Х5ж,м",10.86778092733862
"Поплавский Б.Ю._Отблеск-рая-спал-на-снежном-поле_Х5ж,м",10.944871191113688
Поплавский Б.Ю._Над-пустой-рекой-за-поворотом_Х5жм,10.99401362191659
Поплавский Б.Ю._В-час-когда-писать-глаза-устанут_Х5жм; Х5д,11.117914253207426
Зарудин Н.Н._Брезжит-стон-петуший.-Все-застыло----_Х5жм; Х6м,11.122065836476736
Монина В.А._Каждый-вечер-золотой-Возница_Х5жм,11.168537125516057
Поплавский Б.Ю._Зимний-просек-тих-и-полон-снега_Х5жм,11.216677623150565
Поплавский Б.Ю._Было-тихо-в-мире-было-поздно._Х5ж,11.226782327184898
Адамович Г. В._Тихо-мирно-мы-теперь-живем_Х5мж,11.254692450719121
Луговской В.А._Перекресток.-Красный-светофор._Х5мж; Х6м,11.268891728485949
Меркурьева В.А._Долетевший-с-вами-горный-ветер_Х5ж,11.311415486168968
Семенов Г.С._Спят-недосыпают-горожане_Х5жм,11.345005815859471
Шенгели Г.А._Встало-утро-сухо-золотое._Х5ж,11.426716821007261
Поплавский Б.Ю._Страшно-в-бездне.-Снег-идет-над-миром_Х5жм; Х4м,11.441411258607564
Асеев Н.Н._День-настал-/-от-низких-туч-не-вымыт._Х5жм; Х5д,11.457411822534745
Мартынов Л.Н._Эту-вы-заметили-минуту?_Х5ж,11.501230606162045
Гумилев Н.С._В-темных-покрывалах-летней-ночи_Х5ж,11.511026351193578
"Светлов М.А._Тихо-светит-месяц-серебристый…_Х5ж,м",11.556730181753752
Толстая М.А._Ранним-утром-в-дальнюю-дорогу_Х5жм,11.597852741946593
Бунин И.А._В-тихом-старом-городе-Скутари_Х5жм,11.617627821991846
Корнилов Б.П._Может-быть-/-а-может-быть----не-может_Х5жм; Х5д,11.626972539904278
Ходасевич В.Ф._Он-не-спит-он-только-забывает:_Х5жм; Х4м,11.635876913718041
Бунин И.А._Тонет-солнце-рдяным-углем-тонет_Х5жжм,11.646397729945932
Прокофьев А.А._На-раздолье-вешнем-на-просторном_Х5жм,11.689738482242717
